pl_hostname,pl_name,pl_discmethod,pl_orbper,st_dist,st_mass,st_rad,pl_rade,pl_trandur,pl_tranmid,pl_facility
Kepler-956,Kepler-956 b,Transit,5.24867263,631,1.1,1.15,3,0.076742,2454968.516253,Kepler
Kepler-1247,Kepler-1247 b,Transit,13.71220213,1094,0.86,0.82,2.33,0.103863,2454968.51865,Kepler
Kepler-1252,Kepler-1252 b,Transit,15.0540329,828,1.06,1.09,1.67,0.17813,2454968.53067,Kepler
Kepler-1238,Kepler-1238 b,Transit,4.14787559,1533,1.3,1.48,1.93,0.15308,2454968.53534,Kepler
Kepler-901,Kepler-901 b,Transit,3.51749439,241,0.59,0.57,1.37,0.061862,2454968.54657,Kepler
Kepler-1302,Kepler-1302 b,Transit,8.83922659,727,0.86,0.82,1.43,0.07512,2454968.54701,Kepler
Kepler-766,Kepler-766 b,Transit,6.10027804,1614,1.1,1.15,3.39,0.197863,2454968.58673,Kepler
Kepler-1119,Kepler-1119 b,Transit,8.3265153,1288,1.11,1.17,1.92,0.22429,2454968.58682,Kepler
Kepler-922,Kepler-922 b,Transit,0.93846683,558,0.95,0.93,1.42,0.05296,2454968.601201,Kepler
Kepler-1176,Kepler-1176 b,Transit,24.1738579,1023,1.01,1.02,2.45,0.12737,2454968.62444,Kepler
Kepler-1337,Kepler-1337 b,Transit,24.4002549,588,0.7,0.67,2.41,0.11979,2454968.62939,Kepler
Kepler-117,Kepler-117 c,Transit,50.790391,1430,1.13,1.61,12.341,0.4535,2454968.63205,Kepler
Kepler-1303,Kepler-1303 b,Transit,7.56127224,905,1.01,1,1.42,0.12242,2454968.63599,Kepler
Kepler-1048,Kepler-1048 b,Transit,6.92101021,415,0.75,0.7,1.61,0.176954,2454968.64481,Kepler
Kepler-1111,Kepler-1111 b,Transit,8.79617863,1142,1.1,1.15,2,0.141608,2454968.67717,Kepler
Kepler-853,Kepler-853 b,Transit,7.16892463,610,1.3,1.55,1.69,0.191279,2454968.67883,Kepler
Kepler-1616,Kepler-1616 b,Transit,6.76284377,862,1.21,1.34,1.02,0.24467,2454968.6798,Kepler
